,Client,Packages,hops,next,start
237,203,0,0,6,1
238,203,0,1,6,1
239,203,0,2,6,1
240,204,0,0,6,1
241,204,0,1,6,1
242,204,0,2,6,1
243,205,0,0,6,1
244,205,0,1,6,1
245,205,0,2,6,1
246,206,0,0,6,1
247,206,0,1,6,1
248,206,0,2,6,1
249,207,0,0,6,1
250,207,0,1,6,1
251,207,0,2,6,1
252,1,0,0,7,1
253,1,0,1,7,1
254,1,0,2,7,1
255,2,0,0,7,1
256,2,0,1,7,1
257,2,0,2,7,1
258,3,0,0,7,1
259,3,0,1,7,1
260,3,0,2,7,1
261,4,0,0,7,1
262,4,0,1,7,1
263,4,0,2,7,1
264,5,0,0,7,1
265,5,0,1,7,1
266,5,0,2,7,1
267,6,0,0,7,1
268,6,0,1,7,1
269,6,0,2,7,1
270,7,0,0,7,1
271,7,0,1,7,1
272,7,0,2,7,1
273,201,0,0,7,1
274,201,0,1,7,1
275,201,0,2,7,1
276,202,0,0,7,1
277,202,0,1,7,1
278,202,0,2,7,1
279,203,0,0,7,1
280,203,0,1,7,1
281,203,0,2,7,1
282,204,0,0,7,1
283,204,0,1,7,1
284,204,0,2,7,1
285,205,0,0,7,1
286,205,0,1,7,1
287,205,0,2,7,1
288,206,0,0,7,1
289,206,0,1,7,1
290,206,0,2,7,1
291,207,0,0,7,1
292,207,0,1,7,1
293,207,0,2,7,1
294,1,0,0,201,1
295,1,0,1,201,1
296,1,0,2,201,1
297,2,0,0,201,1
298,2,0,1,201,1
299,2,0,2,201,1
300,3,0,0,201,1
301,3,0,1,201,1
302,3,0,2,201,1
303,4,0,0,201,1
304,4,0,1,201,1
305,4,0,2,201,1
306,5,0,0,201,1
307,5,0,1,201,1
308,5,0,2,201,1
309,6,0,0,201,1
310,6,0,1,201,1
311,6,0,2,201,1
312,7,0,0,201,1
313,7,0,1,201,1
314,7,0,2,201,1
315,201,0,0,201,1
316,201,0,1,201,1
317,201,0,2,201,1
318,202,0,0,201,1
319,202,0,1,201,1
320,202,0,2,201,1
321,203,0,0,201,1
322,203,0,1,201,1
323,203,0,2,201,1
324,204,0,0,201,1
325,204,0,1,201,1
326,204,0,2,201,1
327,205,0,0,201,1
328,205,0,1,201,1
329,205,0,2,201,1
330,206,0,0,201,1
331,206,0,1,201,1
332,206,0,2,201,1
333,207,0,0,201,1
334,207,0,1,201,1
335,207,0,2,201,1
336,1,0,0,202,1
337,1,0,1,202,1
338,1,0,2,202,1
339,2,0,0,202,1
340,2,0,1,202,1
341,2,0,2,202,1
342,3,0,0,202,1
343,3,0,1,202,1
344,3,0,2,202,1
345,4,0,0,202,1
346,4,0,1,202,1
347,4,0,2,202,1
348,5,0,0,202,1
349,5,0,1,202,1
350,5,0,2,202,1
351,6,0,0,202,1
352,6,0,1,202,1
353,6,0,2,202,1
354,7,0,0,202,1
355,7,0,1,202,1
356,7,0,2,202,1
357,201,0,0,202,1
358,201,0,1,202,1
359,201,0,2,202,1
360,202,0,0,202,1
361,202,0,1,202,1
362,202,0,2,202,1
363,203,0,0,202,1
364,203,0,1,202,1
365,203,0,2,202,1
366,204,0,0,202,1
367,204,0,1,202,1
368,204,0,2,202,1
369,205,0,0,202,1
370,205,0,1,202,1
371,205,0,2,202,1
372,206,0,0,202,1
373,206,0,1,202,1
374,206,0,2,202,1
375,207,0,0,202,1
376,207,0,1,202,1
377,207,0,2,202,1
378,1,0,0,203,1
379,1,0,1,203,1
380,1,0,2,203,1
381,2,0,0,203,1
382,2,0,1,203,1
383,2,0,2,203,1
384,3,0,0,203,1
385,3,0,1,203,1
386,3,0,2,203,1
387,4,0,0,203,1
388,4,0,1,203,1
389,4,0,2,203,1
390,5,0,0,203,1
391,5,0,1,203,1
392,5,0,2,203,1
393,6,0,0,203,1
394,6,0,1,203,1
395,6,0,2,203,1
396,7,0,0,203,1
397,7,0,1,203,1
398,7,0,2,203,1
399,201,0,0,203,1
400,201,0,1,203,1
401,201,0,2,203,1
402,202,0,0,203,1
403,202,0,1,203,1
404,202,0,2,203,1
405,203,0,0,203,1
406,203,0,1,203,1
407,203,0,2,203,1
408,204,0,0,203,1
409,204,0,1,203,1
410,204,0,2,203,1
411,205,0,0,203,1
412,205,0,1,203,1
413,205,0,2,203,1
414,206,0,0,203,1
415,206,0,1,203,1
416,206,0,2,203,1
417,207,0,0,203,1
418,207,0,1,203,1
419,207,0,2,203,1
420,1,0,0,204,1
421,1,0,1,204,1
422,1,0,2,204,1
423,2,0,0,204,1
424,2,0,1,204,1
425,2,0,2,204,1
426,3,0,0,204,1
427,3,0,1,204,1
428,3,0,2,204,1
429,4,0,0,204,1
430,4,0,1,204,1
431,4,0,2,204,1
432,5,0,0,204,1
433,5,0,1,204,1
434,5,0,2,204,1
435,6,0,0,204,1
436,6,0,1,204,1
437,6,0,2,204,1
438,7,0,0,204,1
439,7,0,1,204,1
440,7,0,2,204,1
441,201,0,0,204,1
442,201,0,1,204,1
443,201,0,2,204,1
444,202,0,0,204,1
445,202,0,1,204,1
446,202,0,2,204,1
447,203,0,0,204,1
448,203,0,1,204,1
449,203,0,2,204,1
450,204,0,0,204,1
451,204,0,1,204,1
452,204,0,2,204,1
453,205,0,0,204,1
454,205,0,1,204,1
455,205,0,2,204,1
456,206,0,0,204,1
457,206,0,1,204,1
458,206,0,2,204,1
459,207,0,0,204,1
460,207,0,1,204,1
461,207,0,2,204,1
462,1,0,0,205,1
463,1,0,1,205,1
464,1,0,2,205,1
465,2,0,0,205,1
466,2,0,1,205,1
467,2,0,2,205,1
468,3,0,0,205,1
469,3,0,1,205,1
470,3,0,2,205,1
471,4,0,0,205,1
472,4,0,1,205,1
473,4,0,2,205,1
474,5,0,0,205,1
475,5,0,1,205,1
476,5,0,2,205,1
477,6,0,0,205,1
478,6,0,1,205,1
479,6,0,2,205,1
480,7,0,0,205,1
481,7,0,1,205,1
482,7,0,2,205,1
483,201,0,0,205,1
484,201,0,1,205,1
485,201,0,2,205,1
486,202,0,0,205,1
487,202,0,1,205,1
488,202,0,2,205,1
489,203,0,0,205,1
490,203,0,1,205,1
491,203,0,2,205,1
492,204,0,0,205,1
493,204,0,1,205,1
494,204,0,2,205,1
495,205,0,0,205,1
496,205,0,1,205,1
497,205,0,2,205,1
498,206,0,0,205,1
499,206,0,1,205,1
500,206,0,2,205,1
501,207,0,0,205,1
502,207,0,1,205,1
503,207,0,2,205,1
504,1,0,0,206,1
505,1,0,1,206,1
506,1,0,2,206,1
507,2,0,0,206,1
508,2,0,1,206,1
509,2,0,2,206,1
510,3,0,0,206,1
511,3,0,1,206,1
512,3,0,2,206,1
513,4,0,0,206,1
514,4,0,1,206,1
515,4,0,2,206,1
516,5,0,0,206,1
517,5,0,1,206,1
518,5,0,2,206,1
519,6,0,0,206,1
520,6,0,1,206,1
521,6,0,2,206,1
522,7,0,0,206,1
523,7,0,1,206,1
524,7,0,2,206,1
525,201,0,0,206,1
526,201,0,1,206,1
527,201,0,2,206,1
528,202,0,0,206,1
529,202,0,1,206,1
530,202,0,2,206,1
531,203,0,0,206,1
532,203,0,1,206,1
533,203,0,2,206,1
534,204,0,0,206,1
535,204,0,1,206,1
536,204,0,2,206,1
537,205,0,0,206,1
538,205,0,1,206,1
539,205,0,2,206,1
540,206,0,0,206,1
541,206,0,1,206,1
542,206,0,2,206,1
543,207,0,0,206,1
544,207,0,1,206,1
545,207,0,2,206,1
546,1,0,0,207,1
547,1,0,1,207,1
548,1,0,2,207,1
549,2,0,0,207,1
550,2,0,1,207,1
551,2,0,2,207,1
552,3,0,0,207,1
553,3,0,1,207,1
554,3,0,2,207,1
555,4,0,0,207,1
556,4,0,1,207,1
557,4,0,2,207,1
558,5,0,0,207,1
559,5,0,1,207,1
560,5,0,2,207,1
561,6,0,0,207,1
562,6,0,1,207,1
563,6,0,2,207,1
564,7,0,0,207,1
565,7,0,1,207,1
566,7,0,2,207,1
567,201,0,0,207,1
568,201,0,1,207,1
569,201,0,2,207,1
570,202,0,0,207,1
571,202,0,1,207,1
572,202,0,2,207,1
573,203,0,0,207,1
574,203,0,1,207,1
575,203,0,2,207,1
576,204,0,0,207,1
577,204,0,1,207,1
578,204,0,2,207,1
579,205,0,0,207,1
580,205,0,1,207,1
581,205,0,2,207,1
582,206,0,0,207,1
583,206,0,1,207,1
584,206,0,2,207,1
585,207,0,0,207,1
586,207,0,1,207,1
587,207,0,2,207,1
588,1,0,0,101,1
589,1,0,1,101,1
590,1,0,2,101,1
591,2,0,0,101,1
592,2,0,1,101,1
593,2,0,2,101,1
594,3,0,0,101,1
595,3,0,1,101,1
596,3,0,2,101,1
597,4,0,0,101,1
598,4,0,1,101,1
599,4,0,2,101,1
600,5,0,0,101,1
601,5,0,1,101,1
602,5,0,2,101,1
603,6,0,0,101,1
604,6,0,1,101,1
605,6,0,2,101,1
606,7,0,0,101,1
607,7,0,1,101,1
608,7,0,2,101,1
609,201,0,0,101,1
610,201,0,1,101,1
611,201,11725,2,101,1
612,202,0,0,101,1
613,202,0,1,101,1
614,202,0,2,101,1
615,203,0,0,101,1
616,203,0,1,101,1
617,203,0,2,101,1
618,204,0,0,101,1
619,204,0,1,101,1
620,204,0,2,101,1
621,205,0,0,101,1
622,205,0,1,101,1
623,205,0,2,101,1
624,206,0,0,101,1
625,206,0,1,101,1
626,206,0,2,101,1
627,207,0,0,101,1
628,207,0,1,101,1
629,207,0,2,101,1
630,1,0,0,102,1
631,1,0,1,102,1
632,1,0,2,102,1
633,2,0,0,102,1
634,2,0,1,102,1
635,2,0,2,102,1
636,3,0,0,102,1
637,3,0,1,102,1
638,3,0,2,102,1
639,4,0,0,102,1
640,4,0,1,102,1
641,4,0,2,102,1
642,5,0,0,102,1
643,5,0,1,102,1
644,5,0,2,102,1
645,6,0,0,102,1
646,6,0,1,102,1
647,6,0,2,102,1
648,7,0,0,102,1
649,7,0,1,102,1
650,7,0,2,102,1
651,201,0,0,102,1
652,201,0,1,102,1
653,201,0,2,102,1
654,202,0,0,102,1
655,202,0,1,102,1
656,202,0,2,102,1
657,203,0,0,102,1
658,203,0,1,102,1
659,203,0,2,102,1
660,204,0,0,102,1
661,204,0,1,102,1
662,204,0,2,102,1
663,205,0,0,102,1
664,205,0,1,102,1
665,205,0,2,102,1
666,206,0,0,102,1
667,206,0,1,102,1
668,206,0,2,102,1
669,207,0,0,102,1
670,207,0,1,102,1
671,207,0,2,102,1
672,1,0,0,103,1
673,1,0,1,103,1
674,1,0,2,103,1
675,2,0,0,103,1
676,2,0,1,103,1
677,2,0,2,103,1
678,3,0,0,103,1
679,3,0,1,103,1
680,3,0,2,103,1
681,4,0,0,103,1
682,4,0,1,103,1
683,4,0,2,103,1
684,5,0,0,103,1
685,5,0,1,103,1
686,5,0,2,103,1
687,6,0,0,103,1
688,6,0,1,103,1
689,6,0,2,103,1
690,7,0,0,103,1
691,7,0,1,103,1
692,7,0,2,103,1
693,201,0,0,103,1
694,201,0,1,103,1
695,201,0,2,103,1
696,202,0,0,103,1
697,202,0,1,103,1
698,202,0,2,103,1
699,203,0,0,103,1
700,203,0,1,103,1
701,203,0,2,103,1
702,204,0,0,103,1
703,204,0,1,103,1
704,204,0,2,103,1
705,205,0,0,103,1
706,205,0,1,103,1
707,205,0,2,103,1
708,206,0,0,103,1
709,206,0,1,103,1
710,206,0,2,103,1
711,207,0,0,103,1
712,207,0,1,103,1
713,207,0,2,103,1
714,1,0,0,104,1
715,1,0,1,104,1
716,1,0,2,104,1
717,2,0,0,104,1
718,2,0,1,104,1
719,2,0,2,104,1
720,3,0,0,104,1
721,3,0,1,104,1
722,3,0,2,104,1
723,4,0,0,104,1
724,4,0,1,104,1
725,4,0,2,104,1
726,5,0,0,104,1
727,5,0,1,104,1
728,5,0,2,104,1
729,6,0,0,104,1
730,6,0,1,104,1
731,6,0,2,104,1
732,7,0,0,104,1
733,7,0,1,104,1
734,7,0,2,104,1
735,201,0,0,104,1
736,201,0,1,104,1
737,201,0,2,104,1
738,202,0,0,104,1
739,202,0,1,104,1
740,202,0,2,104,1
741,203,0,0,104,1
742,203,0,1,104,1
743,203,0,2,104,1
744,204,0,0,104,1
745,204,0,1,104,1
746,204,0,2,104,1
747,205,0,0,104,1
748,205,0,1,104,1
749,205,0,2,104,1
750,206,0,0,104,1
751,206,0,1,104,1
752,206,0,2,104,1
753,207,0,0,104,1
754,207,0,1,104,1
755,207,0,2,104,1
756,1,0,0,105,1
757,1,0,1,105,1
758,1,0,2,105,1
759,2,0,0,105,1
760,2,0,1,105,1
761,2,0,2,105,1
762,3,0,0,105,1
763,3,0,1,105,1
764,3,0,2,105,1
765,4,0,0,105,1
766,4,0,1,105,1
767,4,0,2,105,1
768,5,0,0,105,1
769,5,0,1,105,1
770,5,0,2,105,1
771,6,0,0,105,1
772,6,0,1,105,1
773,6,0,2,105,1
774,7,0,0,105,1
775,7,0,1,105,1
776,7,0,2,105,1
777,201,0,0,105,1
778,201,0,1,105,1
779,201,0,2,105,1
780,202,0,0,105,1
781,202,0,1,105,1
782,202,0,2,105,1
783,203,0,0,105,1
784,203,0,1,105,1
785,203,0,2,105,1
786,204,0,0,105,1
787,204,0,1,105,1
788,204,0,2,105,1
789,205,0,0,105,1
790,205,0,1,105,1
791,205,0,2,105,1
792,206,0,0,105,1
793,206,0,1,105,1
794,206,0,2,105,1
795,207,0,0,105,1
796,207,0,1,105,1
797,207,0,2,105,1
798,1,0,0,106,1
799,1,0,1,106,1
800,1,0,2,106,1
801,2,0,0,106,1
802,2,0,1,106,1
803,2,0,2,106,1
804,3,0,0,106,1
805,3,0,1,106,1
806,3,0,2,106,1
807,4,0,0,106,1
808,4,0,1,106,1
809,4,0,2,106,1
810,5,0,0,106,1
811,5,0,1,106,1
812,5,0,2,106,1
813,6,0,0,106,1
814,6,0,1,106,1
815,6,0,2,106,1
816,7,0,0,106,1
817,7,0,1,106,1
818,7,0,2,106,1
819,201,0,0,106,1
820,201,0,1,106,1
821,201,0,2,106,1
822,202,0,0,106,1
823,202,0,1,106,1
824,202,0,2,106,1
825,203,0,0,106,1
826,203,0,1,106,1
827,203,0,2,106,1
828,204,0,0,106,1
829,204,0,1,106,1
830,204,0,2,106,1
831,205,0,0,106,1
832,205,0,1,106,1
833,205,0,2,106,1
834,206,0,0,106,1
835,206,0,1,106,1
836,206,0,2,106,1
837,207,0,0,106,1
838,207,0,1,106,1
839,207,0,2,106,1
840,1,0,0,107,1
841,1,0,1,107,1
842,1,0,2,107,1
843,2,0,0,107,1
844,2,0,1,107,1
845,2,0,2,107,1
846,3,0,0,107,1
847,3,0,1,107,1
848,3,0,2,107,1
849,4,0,0,107,1
850,4,0,1,107,1
851,4,0,2,107,1
852,5,0,0,107,1
853,5,0,1,107,1
854,5,0,2,107,1
855,6,0,0,107,1
856,6,0,1,107,1
857,6,0,2,107,1
858,7,0,0,107,1
859,7,0,1,107,1
860,7,0,2,107,1
861,201,0,0,107,1
862,201,0,1,107,1
863,201,0,2,107,1
864,202,0,0,107,1
865,202,0,1,107,1
866,202,0,2,107,1
867,203,0,0,107,1
868,203,0,1,107,1
869,203,0,2,107,1
870,204,0,0,107,1
871,204,0,1,107,1
872,204,0,2,107,1
873,205,0,0,107,1
874,205,0,1,107,1
875,205,0,2,107,1
876,206,0,0,107,1
877,206,0,1,107,1
878,206,0,2,107,1
879,207,0,0,107,1
880,207,0,1,107,1
881,207,0,2,107,1
882,1,0,0,108,1
883,1,0,1,108,1
884,1,0,2,108,1
885,2,0,0,108,1
886,2,0,1,108,1
887,2,0,2,108,1
888,3,0,0,108,1
889,3,0,1,108,1
890,3,0,2,108,1
891,4,0,0,108,1
892,4,0,1,108,1
893,4,0,2,108,1
894,5,0,0,108,1
895,5,0,1,108,1
896,5,0,2,108,1
897,6,0,0,108,1
898,6,0,1,108,1
899,6,0,2,108,1
900,7,0,0,108,1
901,7,0,1,108,1
902,7,0,2,108,1
903,201,0,0,108,1
904,201,0,1,108,1
905,201,0,2,108,1
906,202,0,0,108,1
907,202,0,1,108,1
908,202,0,2,108,1
909,203,0,0,108,1
910,203,0,1,108,1
911,203,0,2,108,1
912,204,0,0,108,1
913,204,0,1,108,1
914,204,0,2,108,1
915,205,0,0,108,1
916,205,0,1,108,1
917,205,0,2,108,1
918,206,0,0,108,1
919,206,0,1,108,1
920,206,0,2,108,1
921,207,0,0,108,1
922,207,0,1,108,1
923,207,0,2,108,1
924,1,0,0,109,1
925,1,0,1,109,1
926,1,0,2,109,1
927,2,0,0,109,1
928,2,0,1,109,1
929,2,0,2,109,1
930,3,0,0,109,1
931,3,0,1,109,1
932,3,0,2,109,1
933,4,0,0,109,1
934,4,0,1,109,1
935,4,0,2,109,1
936,5,0,0,109,1
937,5,0,1,109,1
938,5,0,2,109,1
939,6,0,0,109,1
940,6,0,1,109,1
941,6,0,2,109,1
942,7,0,0,109,1
943,7,0,1,109,1
944,7,0,2,109,1
945,201,0,0,109,1
946,201,0,1,109,1
947,201,0,2,109,1
948,202,0,0,109,1
949,202,0,1,109,1
950,202,0,2,109,1
951,203,0,0,109,1
952,203,0,1,109,1
953,203,0,2,109,1
954,204,0,0,109,1
955,204,0,1,109,1
956,204,0,2,109,1
957,205,0,0,109,1
958,205,0,1,109,1
959,205,0,2,109,1
960,206,0,0,109,1
961,206,0,1,109,1
962,206,0,2,109,1
963,207,0,0,109,1
964,207,0,1,109,1
965,207,0,2,109,1
966,1,0,0,110,1
967,1,0,1,110,1
968,1,0,2,110,1
969,2,0,0,110,1
970,2,0,1,110,1
971,2,0,2,110,1
972,3,0,0,110,1
973,3,0,1,110,1
974,3,0,2,110,1
975,4,0,0,110,1
976,4,0,1,110,1
977,4,0,2,110,1
978,5,0,0,110,1
979,5,0,1,110,1
980,5,0,2,110,1
981,6,0,0,110,1
982,6,0,1,110,1
983,6,0,2,110,1
984,7,0,0,110,1
985,7,0,1,110,1
986,7,0,2,110,1
987,201,0,0,110,1
988,201,0,1,110,1
989,201,0,2,110,1
990,202,0,0,110,1
991,202,0,1,110,1
992,202,0,2,110,1
993,203,0,0,110,1
994,203,0,1,110,1
995,203,0,2,110,1
996,204,0,0,110,1
997,204,0,1,110,1
998,204,0,2,110,1
999,205,0,0,110,1
1000,205,0,1,110,1
1001,205,0,2,110,1
1002,206,0,0,110,1
1003,206,0,1,110,1
1004,206,0,2,110,1
1005,207,0,0,110,1
1006,207,0,1,110,1
1007,207,0,2,110,1
1008,1,0,0,1,2
1009,1,0,1,1,2
1010,1,0,2,1,2
1011,2,0,0,1,2
1012,2,0,1,1,2
1013,2,0,2,1,2
1014,3,0,0,1,2
1015,3,0,1,1,2
1016,3,0,2,1,2
1017,4,0,0,1,2
1018,4,0,1,1,2
1019,4,0,2,1,2
1020,5,0,0,1,2
1021,5,0,1,1,2
1022,5,0,2,1,2
1023,6,0,0,1,2
1024,6,0,1,1,2
1025,6,0,2,1,2
1026,7,0,0,1,2
1027,7,0,1,1,2
1028,7,0,2,1,2
1029,201,0,0,1,2
1030,201,0,1,1,2
1031,201,0,2,1,2
1032,202,0,0,1,2
1033,202,0,1,1,2
1034,202,0,2,1,2
1035,203,0,0,1,2
1036,203,0,1,1,2
1037,203,0,2,1,2
1038,204,0,0,1,2
1039,204,0,1,1,2
1040,204,0,2,1,2
1041,205,0,0,1,2
1042,205,0,1,1,2
1043,205,0,2,1,2
1044,206,0,0,1,2
1045,206,0,1,1,2
1046,206,0,2,1,2
1047,207,0,0,1,2
1048,207,0,1,1,2
1049,207,0,2,1,2
1050,1,0,0,2,2
1051,1,0,1,2,2
1052,1,0,2,2,2
1053,2,0,0,2,2
1054,2,0,1,2,2
1055,2,0,2,2,2
1056,3,0,0,2,2
1057,3,0,1,2,2
1058,3,0,2,2,2
1059,4,0,0,2,2
1060,4,0,1,2,2
1061,4,0,2,2,2
1062,5,0,0,2,2
1063,5,0,1,2,2
1064,5,0,2,2,2
1065,6,0,0,2,2
1066,6,0,1,2,2
1067,6,0,2,2,2
1068,7,0,0,2,2
1069,7,0,1,2,2
1070,7,0,2,2,2
1071,201,0,0,2,2
1072,201,0,1,2,2
1073,201,0,2,2,2
1074,202,0,0,2,2
1075,202,0,1,2,2
1076,202,0,2,2,2
1077,203,0,0,2,2
1078,203,0,1,2,2
1079,203,0,2,2,2
1080,204,0,0,2,2
1081,204,0,1,2,2
1082,204,0,2,2,2
1083,205,0,0,2,2
1084,205,0,1,2,2
1085,205,0,2,2,2
1086,206,0,0,2,2
1087,206,0,1,2,2
1088,206,0,2,2,2
1089,207,0,0,2,2
1090,207,0,1,2,2
1091,207,0,2,2,2
1092,1,0,0,3,2
1093,1,0,1,3,2
1094,1,0,2,3,2
1095,2,0,0,3,2
1096,2,0,1,3,2
1097,2,0,2,3,2
1098,3,0,0,3,2
1099,3,0,1,3,2
1100,3,0,2,3,2
1101,4,0,0,3,2
1102,4,0,1,3,2
1103,4,0,2,3,2
1104,5,0,0,3,2
1105,5,0,1,3,2
1106,5,0,2,3,2
1107,6,0,0,3,2
1108,6,0,1,3,2
1109,6,0,2,3,2
1110,7,0,0,3,2
1111,7,0,1,3,2
1112,7,0,2,3,2
1113,201,0,0,3,2
1114,201,0,1,3,2
1115,201,0,2,3,2
1116,202,0,0,3,2
1117,202,0,1,3,2
1118,202,0,2,3,2
1119,203,0,0,3,2
1120,203,0,1,3,2
1121,203,0,2,3,2
1122,204,0,0,3,2
1123,204,0,1,3,2
1124,204,0,2,3,2
1125,205,0,0,3,2
1126,205,0,1,3,2
1127,205,0,2,3,2
1128,206,0,0,3,2
1129,206,0,1,3,2
1130,206,0,2,3,2
1131,207,0,0,3,2
1132,207,0,1,3,2
1133,207,0,2,3,2
1134,1,0,0,4,2
1135,1,0,1,4,2
1136,1,0,2,4,2
1137,2,0,0,4,2
1138,2,0,1,4,2
1139,2,0,2,4,2
1140,3,0,0,4,2
1141,3,0,1,4,2
1142,3,0,2,4,2
1143,4,0,0,4,2
1144,4,0,1,4,2
1145,4,0,2,4,2
1146,5,0,0,4,2
1147,5,0,1,4,2
1148,5,0,2,4,2
1149,6,0,0,4,2
1150,6,0,1,4,2
