set L := i1 i2 i3 i4 i5 i6 i7 i8 i9 i10 i11 i12 i13 F101 F102 F103 F104 F105 k1 k2 k3 k4 k5 k6 k7 k8 k9 k10 k11 k12 k13;
set I := i1 i2 i3 i4 i5 i6 i7 i8 i9 i10 i11 i12 i13;
set J := F101 F102 F103 F104 F105;
set K := k1 k2 k3 k4 k5 k6 k7 k8 k9 k10 k11 k12 k13;
set S := small medium large;
set T := deliver return both;
set F := ingest both;
set MaxH := 2;

param Max_Capital_Cost:= 15000000;  #capital investing $ given
param Mile_Cost:= 4;  #mile cost in $ per mile
param Truck_Size:= 6000;  #the max size of a truck in packages
param Load_Cost:= 50;  #the loading cost per truck in $
param Unload_Cost:= 50;  #the unloading cost per truck in $
param Hops:= 2;  #number of hops allowed
param Fixed_Trucks_Cost:= 550; #the min trans cost per truck in $

param capital:= 
i5 i13 675
i5 F101 380
i5 F102 820
i5 F103 471
i5 F104 428
i5 F105 277
i5 k1 690
i5 k2 644
i5 k3 662
i5 k4 454
i5 k5 767
i5 k6 574
i5 k7 0
i5 k8 729
i6 i1 591
i6 i2 151
i6 i3 254
i6 i4 145
i6 i5 412
i6 i6 0
i6 i7 111
i6 i8 154
i6 i9 211
i6 i10 216
i6 i11 201
i6 i12 114
i6 i13 273
i6 F101 36
i6 F102 467
i6 F103 130
i6 F104 135
i6 F105 137
i6 k1 292
i6 k2 231
i6 k3 254
i6 k4 591
i6 k5 370
i6 k6 162
i6 k7 412
i6 k8 331
i7 i1 531
i7 i2 240
i7 i3 144
i7 i4 256
i7 i5 301
i7 i6 111
i7 i7 0
i7 i8 266
i7 i9 323
i7 i10 327
i7 i11 312
i7 i12 62
i7 i13 378
i7 F101 82
i7 F102 552
i7 F103 193
i7 F104 176
i7 F105 29
i7 k1 395
i7 k2 343
i7 k3 363
i7 k4 531
i7 k5 473
i7 k6 274
i7 k7 301
i7 k8 435
i8 i1 705
i8 i2 141
i8 i3 408
i8 i4 36
i8 i5 567
i8 i6 154
i8 i7 266
i8 i8 0
i8 i9 57
i8 i10 62
i8 i11 47
i8 i12 255
i8 i13 132
i8 F101 188
i8 F102 360
i8 F103 160
i8 F104 216
i8 F105 290
i8 k1 156
i8 k2 77
i8 k3 107
i8 k4 705
i8 k5 231
i8 k6 28
i8 k7 567
i8 k8 191
i9 i1 754
i9 i2 179
i9 i3 466
i9 i4 80
i9 i5 624
i9 i6 211
i9 i7 323
i9 i8 57
i9 i9 0
i9 i10 4
i9 i11 11
i9 i12 309
i9 i13 89
i9 F101 245
i9 F102 327
i9 F103 199
i9 F104 265
i9 F105 347
i9 k1 114
i9 k2 20
i9 k3 58
i9 k4 754
i9 k5 183
i9 k6 60
i9 k7 624
i9 k8 144
i10 i1 759
i10 i2 183
i10 i3 470
i10 i4 85
i10 i5 628
i10 i6 216
i10 i7 327
i10 i8 62
i10 i9 4
i10 i10 0
i10 i11 15
i10 i12 313
i10 i13 86
i10 F101 250
i10 F102 324
i10 F103 202
i10 F104 269
i10 F105 351
i10 k1 111
i10 k2 15
i10 k3 54
i10 k4 759
i10 k5 179
i10 k6 65
i10 k7 628
i10 k8 140
i11 i1 747
i11 i2 174
i11 i3 455
i11 i4 73
i11 i5 613
i11 i6 201
i11 i7 312
i11 i8 47
i11 i9 11
i11 i10 15
i11 i11 0
i11 i12 298
i11 i13 93
i11 F101 235
i11 F102 329
i11 F103 189
i11 F104 258
i11 F105 336
i11 k1 118
i11 k2 30
i11 k3 63
i11 k4 747
i11 k5 189
i11 k6 54
i11 k7 613
i11 k8 149
i12 i1 591
i12 i2 263
i12 i3 181
i12 i4 254
i12 i5 324
i12 i6 114
i12 i7 62
i12 i8 255
i12 i9 309
i12 i10 313
i12 i11 298
i12 i12 0
i12 i13 351
i12 F101 103
i12 F102 505
i12 F103 148
i12 F104 219
i12 F105 60
i12 k1 366
i12 k2 329
i12 k3 341
i12 k4 591
i12 k5 442
i12 k6 269
i12 k7 324
i12 k8 405
i13 i1 838
i13 i2 268
i13 i3 522
i13 i4 165
i13 i5 675
i13 i6 273
i13 i7 378
i13 i8 132
i13 i9 89
i13 i10 86
i13 i11 93
i13 i12 351
i13 i13 0
i13 F101 309
i13 F102 238
i13 F103 216
i13 F104 348
i13 F105 399
i13 k1 25
i13 k2 82
i13 k3 32
i13 k4 838
i13 k5 99
i13 k6 147
i13 k7 675
i13 k8 58
F101 i1 557
F101 i2 161
F101 i3 220
F101 i4 175
F101 i5 380
F101 i6 36
F101 i7 82
F101 i8 188
F101 i9 245
F101 i10 250
F101 i11 235
F101 i12 103
F101 i13 309
F101 F101 0
F101 F102 503
F101 F103 158
F101 F104 121
F101 F105 110
F101 k1 329
F101 k2 265
F101 k3 290
F101 k4 557
F101 k5 407
F101 k6 194
F101 k7 380
F101 k8 367
F102 i1 1056
F102 i2 501
F102 i3 687
F102 i4 396
F102 i5 820
F102 i6 467
F102 i7 552
F102 i8 360
F102 i9 327
F102 i10 324
F102 i11 329
F102 i12 505
F102 i13 238
F102 F101 503
F102 F102 0
F102 F103 358
F102 F104 571
F102 F105 564
F102 k1 213
F102 k2 320
F102 k3 270
F102 k4 1056
F102 k5 167
F102 k6 381
F102 k7 820
F102 k8 193
F103 i1 714
F103 i2 247
F103 i3 329
F103 i4 179
F103 i5 471
F103 i6 130
F103 i7 193
F103 i8 160
F103 i9 199
F103 i10 202
F103 i11 189
F103 i12 148
F103 i13 216
F103 F101 158
F103 F102 358
F103 F103 0
F103 F104 263
F103 F105 205
F103 k1 226
F103 k2 217
F103 k3 213
F103 k4 714
F103 k5 299
F103 k6 185
F103 k7 471
F103 k8 264
F104 i1 489
F104 i2 101
F104 i3 271
F104 i4 184
F104 i5 428
F104 i6 135
F104 i7 176
F104 i8 216
F104 i9 265
F104 i10 269
F104 i11 258
F104 i12 219
F104 i13 348
F104 F101 121
F104 F102 571
F104 F103 263
F104 F104 0
F104 F105 203
F104 k1 372
F104 k2 281
F104 k3 321
F104 k4 489
F104 k5 447
F104 k6 204
F104 k7 428
F104 k8 407
F105 i1 533
F105 i2 269
F105 i3 124
F105 i4 282
F105 i5 277
F105 i6 137
F105 i7 29
F105 i8 290
F105 i9 347
F105 i10 351
F105 i11 336
F105 i12 60
F105 i13 399
F105 F101 110
F105 F102 564
F105 F103 205
F105 F104 203
F105 F105 0
F105 k1 415
F105 k2 367
F105 k3 385
F105 k4 533
F105 k5 492
F105 k6 300
F105 k7 277
F105 k8 454
k1 i1 862
k1 i2 293
k1 i3 539
k1 i4 189
k1 i5 690
k1 i6 292
k1 i7 395
k1 i8 156
k1 i9 114
k1 i10 111
k1 i11 118
k1 i12 366
k1 i13 25
k1 F101 329
k1 F102 213
k1 F103 226
k1 F104 372
k1 F105 415
k1 k1 0
k1 k2 107
k1 k3 57
k1 k4 862
k1 k5 78
k1 k6 172
k1 k7 690
k1 k8 39
k2 i1 769
k2 i2 192
k2 i3 485
k2 i4 98
k2 i5 644
k2 i6 231
k2 i7 343
k2 i8 77
k2 i9 20
k2 i10 15
k2 i11 30
k2 i12 329
k2 i13 82
k2 F101 265
k2 F102 320
k2 F103 217
k2 F104 281
k2 F105 367
k2 k1 107
k2 k2 0
k2 k3 49
k2 k4 769
k2 k5 170
k2 k6 77
k2 k7 644
k2 k8 132
k3 i1 811
k3 i2 237
k3 i3 507
k3 i4 136
k3 i5 662
k3 i6 254
k3 i7 363
k3 i8 107
k3 i9 58
k3 i10 54
k3 i11 63
k3 i12 341
k3 i13 32
k3 F101 290
k3 F102 270
k3 F103 213
k3 F104 321
k3 F105 385
k3 k1 57
k3 k2 49
k3 k3 0
k3 k4 811
k3 k5 126
k3 k6 117
k3 k7 662
k3 k8 86
k4 i1 0
k4 i2 579
k4 i3 448
k4 i4 674
k4 i5 454
k4 i6 591
k4 i7 531
k4 i8 705
k4 i9 754
k4 i10 759
k4 i11 747
k4 i12 591
k4 i13 838
k4 F101 557
k4 F102 1056
k4 F103 714
k4 F104 489
k4 F105 533
k4 k1 862
k4 k2 769
k4 k3 811
k4 k4 0
k4 k5 937
k4 k6 693
k4 k7 454
k4 k8 897
k5 i1 937
k5 i2 363
k5 i3 617
k5 i4 262
k5 i5 767
k5 i6 370
k5 i7 473
k5 i8 231
k5 i9 183
k5 i10 179
k5 i11 189
k5 i12 442
k5 i13 99
k5 F101 407
k5 F102 167
k5 F103 299
k5 F104 447
k5 F105 492
k5 k1 78
k5 k2 170
k5 k3 126
k5 k4 937
k5 k5 0
k5 k6 243
k5 k7 767
k5 k8 40
k6 i1 693
k6 i2 121
k6 i3 414
k6 i4 20
k6 i5 574
k6 i6 162
k6 i7 274
k6 i8 28
k6 i9 60
k6 i10 65
k6 i11 54
k6 i12 269
k6 i13 147
k6 F101 194
k6 F102 381
k6 F103 185
k6 F104 204
k6 F105 300
k6 k1 172
k6 k2 77
k6 k3 117
k6 k4 693
k6 k5 243
k6 k6 0
k6 k7 574
k6 k8 204
k7 i1 454
k7 i2 520
k7 i3 161
k7 i4 556
k7 i5 0
k7 i6 412
k7 i7 301
k7 i8 567
k7 i9 624
k7 i10 628
k7 i11 613
k7 i12 324
k7 i13 675
k7 F101 380
k7 F102 820
k7 F103 471
k7 F104 428
k7 F105 277
k7 k1 690
k7 k2 644
k7 k3 662
k7 k4 454
k7 k5 767
k7 k6 574
k7 k7 0
k7 k8 729
k8 i1 897
k8 i2 323
k8 i3 578
k8 i4 222
k8 i5 729
k8 i6 331
k8 i7 435
k8 i8 191
k8 i9 144
k8 i10 140
k8 i11 149
k8 i12 405
k8 i13 58
k8 F101 367
k8 F102 193
k8 F103 264
k8 F104 407
k8 F105 454
k8 k1 39
k8 k2 132
k8 k3 86
k8 k4 897
k8 k5 40
k8 k6 204
k8 k7 729
k8 k8 0;

param hub_capacity:=
small 4800000
medium 14400000
large 28800000;

param package:=
1 1 1;

param sorting:=
F101 0.5
F102 0.5
F103 0.5
F104 0.5
F105 0.5;

